Time,CPU,Memory,Temperature,Power
1,134.20%,424,50.1,  2.60 W   
2,143.20%,1078,64.2,  2.51 W   
3,157.70%,1720,68.1,  2.59 W   
4,127.10%,2369,68.6,  2.33 W   
5,131.20%,3069,70.1,  2.53 W   
6,137.20%,3761,71.1,  2.40 W   
7,129.40%,4428,70.6,  2.45 W   
8,139.00%,5053,71.1,  2.38 W   
9,252.00%,5759,73,  4.09 W   
10,118.40%,1185,72.5,  1.99 W   
11,206.10%,1405,73,  3.36 W   
12,225.40%,2082,72,  3.80 W   
13,73.20%,2764,74.5,  1.45 W   
14,138.40%,3393,73.5,  2.34 W   
15,157.80%,4049,73.5,  2.99 W   
16,170.70%,4746,74.5,  2.82 W   
17,130.80%,5397,74.5,  2.28 W   
18,390.50%,1179,74,  6.22 W   
19,136.80%,1183,75,  2.37 W   
20,153.60%,1333,73.5,  2.67 W   
21,177.20%,1999,74,  3.08 W   
22,130.80%,2692,75,  2.16 W   
23,157.60%,3447,75.9,  2.46 W   
24,178.60%,4153,75,  3.24 W   
25,157.00%,4853,75,  2.73 W   
26,285.30%,1297,74.5,  5.19 W   
27,102.90%,1300,75,  1.75 W   
28,79.70%,1299,75,  1.41 W   
29,201.70%,1501,75,  3.76 W   
30,205.50%,1945,75.4,  3.38 W   
31,214.10%,2474,75.9,  3.58 W   
32,154.70%,3133,75.4,  2.70 W   
33,203.20%,3790,74.5,  3.36 W   
34,112.50%,4450,74.5,  2.05 W   
35,220.60%,1302,73,  4.00 W   
36,127.50%,1303,74,  2.08 W   
37,174.80%,1359,74,  3.32 W   
38,108.30%,1797,73.5,  1.99 W   
39,125.80%,2256,74,  2.22 W   
40,191.00%,2710,74,  3.03 W   
41,177.20%,3245,73.5,  2.96 W   
42,126.80%,3964,74.5,  2.14 W   
43,290.50%,2161,72,  5.40 W   
44,140.10%,2164,73,  2.34 W   
45,183.40%,2166,73.5,  2.98 W   
46,149.30%,2166,73,  2.47 W   
47,126.30%,2402,73,  2.40 W   
48,204.40%,3042,73,  3.38 W   
49,137.70%,3736,73.5,  2.21 W   
50,150.90%,4409,73.5,  2.56 W   
51,115.20%,5106,73,  1.97 W   
52,146.90%,2166,72,  2.78 W   
53,151.20%,2164,74,  2.47 W   
54,199.10%,2162,73,  3.33 W   
55,137.80%,2166,73,  2.47 W   
56,174.10%,2825,72,  2.79 W   
57,129.10%,3458,72.5,  2.34 W   
58,183.40%,4167,71.5,  3.16 W   
59,203.90%,4857,72.5,  3.24 W   
60,281.20%,2162,71.1,  4.93 W   
61,4.30%,206,50.6,  667 mW   
62,2.00%,206,45.7,  417 mW   
63,3.50%,208,44.3,  432 mW   
64,14.50%,209,42.3,  3.31 W   
65,13.50%,207,42.3,  1.98 W   
66,2.30%,209,42.8,  561 mW   
67,2.90%,207,41.8,  533 mW   
68,3.60%,209,42.3,  478 mW   
69,3.10%,209,42.8,  409 mW   
70,3.90%,210,42.3,  1.52 W   
71,140.20%,478,53,  2.56 W   
72,222.70%,485,55.5,  3.69 W   
73,140.70%,1161,67.2,  2.27 W   
74,152.20%,1157,67.2,  2.81 W   
75,164.40%,1793,69.6,  2.76 W   
76,101.90%,1801,69.6,  1.81 W   
77,109.30%,2410,71.1,  1.95 W   
78,204.20%,2451,71.5,  3.51 W   
79,206.30%,3061,72.5,  3.36 W   
80,174.30%,3114,73,  2.99 W   
81,148.10%,3743,72.5,  2.73 W   
82,134.70%,3784,71.5,  2.45 W   
83,200.90%,4424,73,  3.55 W   
84,104.90%,4479,74,  1.73 W   
85,190.90%,5167,72.5,  3.27 W   
86,226.40%,5208,63.3,  3.53 W   
87,151.60%,5527,54.5,  2.37 W   
88,198.20%,5562,53,  3.10 W   
89,391.60%,846,52.1,  6.13 W   
90,377.70%,845,50.1,  5.97 W   
91,163.20%,845,50.1,  2.60 W   
92,304.70%,845,50.1,  4.79 W   
93,290.30%,856,50.6,  4.54 W   
94,241.10%,889,49.1,  3.76 W   
95,311.20%,1204,49.6,  4.92 W   
96,259.30%,1233,48.7,  4.08 W   
97,305.50%,1578,48.7,  4.79 W   
98,227.40%,1607,48.7,  3.57 W   
99,299.10%,1936,48.7,  4.71 W   
100,275.90%,1967,49.1,  4.34 W   
101,297.30%,2319,49.1,  4.66 W   
102,231.10%,2352,48.2,  3.61 W   
103,163.10%,2668,48.7,  2.60 W   
104,276.40%,2712,48.7,  4.31 W   
105,388.20%,3075,48.7,  6.12 W   
106,274.60%,3115,47.7,  4.33 W   
107,297.10%,3446,49.1,  4.69 W   
108,259.90%,3483,48.2,  4.07 W   
109,246.00%,3795,48.2,  3.88 W   
110,245.10%,3840,48.7,  3.90 W   
111,216.50%,4140,49.1,  3.38 W   
112,238.00%,4178,47.7,  3.73 W   
113,224.90%,4521,48.2,  3.51 W   
114,267.40%,4561,48.2,  4.18 W   
115,175.30%,4864,48.7,  2.80 W   
116,200.90%,4901,48.7,  3.15 W   
117,300.60%,5206,49.1,  4.78 W   
118,229.70%,5244,47.7,  3.68 W   
119,226.80%,5569,48.2,  3.63 W   
120,348.10%,5616,48.2,  5.45 W   
121,387.40%,3022,48.2,  6.07 W   
122,392.30%,3023,47.2,  6.14 W   
123,254.80%,3025,47.2,  3.97 W   
124,300.60%,3025,47.7,  4.75 W   
125,237.90%,3025,48.2,  3.74 W   
126,250.30%,3026,46.7,  3.92 W   
127,270.70%,3026,47.2,  4.27 W   
128,337.30%,3026,47.7,  5.27 W   
129,289.10%,3023,47.7,  4.54 W   
130,246.30%,3024,48.2,  3.90 W   
131,318.80%,3026,47.7,  5.06 W   
132,262.60%,3026,48.2,  4.10 W   
133,227.30%,3026,49.6,  3.59 W   
134,263.00%,3026,48.2,  4.14 W   
135,262.10%,3027,48.7,  4.09 W   
136,341.40%,3024,48.7,  5.40 W   
137,226.20%,3025,49.6,  3.53 W   
138,259.00%,3029,49.6,  4.04 W   
139,268.10%,3332,49.1,  4.22 W   
140,307.50%,3373,48.7,  4.83 W   
141,257.80%,3690,49.6,  4.02 W   
142,259.60%,3726,49.6,  4.06 W   
143,343.70%,4031,49.1,  5.40 W   
144,298.40%,4066,51.1,  4.72 W   
145,341.90%,4377,49.1,  5.38 W   
146,349.70%,4423,49.1,  5.49 W   
147,180.80%,4780,49.6,  2.83 W   
148,221.00%,4832,50.1,  3.45 W   
149,294.70%,5142,48.7,  4.62 W   
150,311.30%,5178,49.6,  4.93 W   
151,302.70%,5485,50.6,  4.73 W   
152,188.70%,5526,50.6,  2.95 W   
153,389.50%,5685,49.6,  6.15 W   
154,387.30%,5684,50.1,  6.10 W   
155,186.20%,5685,50.1,  2.91 W   
156,325.50%,5685,50.1,  5.12 W   
157,208.00%,5688,50.1,  3.25 W   
158,203.40%,5684,50.1,  3.24 W   
159,198.30%,5684,49.1,  3.10 W   
160,292.60%,5687,51.1,  4.63 W   
161,301.70%,5685,51.1,  4.74 W   
162,319.20%,5688,51.1,  5.06 W   
163,229.90%,5687,51.1,  3.63 W   
164,178.30%,5688,51.1,  2.78 W   
165,230.70%,5686,50.1,  3.62 W   
166,215.40%,5690,50.6,  3.42 W   
167,238.30%,5686,50.6,  3.72 W   
168,192.90%,5683,51.1,  3.01 W   
169,254.90%,5687,50.6,  4.03 W   
170,324.50%,5687,51.1,  5.10 W   
171,292.60%,5685,50.1,  4.61 W   
172,241.20%,5687,51.1,  3.77 W   
173,181.60%,5689,51.1,  2.86 W   
174,326.40%,5687,50.6,  5.11 W   
175,239.00%,5683,51.1,  3.73 W   
176,263.80%,5684,51.6,  4.12 W   
177,295.10%,5686,50.1,  4.63 W   
178,238.00%,5687,50.6,  3.74 W   
179,304.80%,5685,50.6,  4.80 W   
180,285.90%,5686,51.1,  4.54 W   
181,255.70%,5683,50.6,  4.01 W   
182,267.70%,5687,51.1,  4.24 W   
183,275.10%,5683,51.1,  4.29 W   
184,289.80%,5683,51.6,  4.53 W   
185,272.40%,5679,51.6,  4.38 W   
186,385.20%,5681,51.6,  6.02 W   
187,293.30%,1543,51.6,  4.59 W   
188,251.80%,1540,51.6,  3.96 W   
189,216.30%,1540,51.1,  3.43 W   
190,288.70%,1540,52.1,  4.54 W   
191,177.10%,1542,51.1,  2.83 W   
192,283.40%,1540,50.6,  4.42 W   
193,337.80%,1687,50.6,  5.33 W   
194,251.70%,1738,50.1,  3.93 W   
195,289.40%,2059,51.6,  4.54 W   
196,220.10%,2109,51.1,  3.49 W   
197,280.60%,2399,51.1,  4.41 W   
198,283.30%,2458,50.1,  4.43 W   
199,308.10%,2753,51.6,  4.84 W   
200,218.10%,2798,51.1,  3.42 W   
201,264.40%,3109,52.1,  4.14 W   
202,257.90%,3158,51.6,  4.03 W   
203,255.80%,3457,51.6,  4.00 W   
204,222.50%,3502,50.6,  3.54 W   
205,235.70%,3828,50.6,  3.70 W   
206,275.90%,3879,51.6,  4.34 W   
207,279.70%,4160,50.6,  4.38 W   
208,314.20%,4207,51.1,  4.96 W   
209,307.90%,4487,51.1,  4.80 W   
210,231.80%,4529,50.6,  3.62 W   
211,271.10%,4823,51.6,  4.24 W   
212,296.00%,4868,52.1,  4.68 W   
213,195.60%,5196,51.6,  3.14 W   
214,307.80%,5236,51.1,  4.82 W   
215,324.10%,5535,51.1,  5.09 W   
216,264.90%,5582,51.6,  4.19 W   
217,388.30%,1542,51.1,  6.08 W   
218,385.70%,1540,50.6,  6.05 W   
219,195.80%,1542,51.6,  3.08 W   
220,173.00%,1543,51.6,  2.72 W   
221,222.00%,1543,51.1,  3.49 W   
222,265.90%,1541,51.6,  4.18 W   
223,302.30%,1540,52.1,  4.79 W   
224,351.40%,1540,52.1,  5.54 W   
225,263.10%,1571,51.1,  4.14 W   
226,216.50%,1607,50.6,  3.42 W   
227,249.00%,1901,53,  3.95 W   
228,280.10%,1938,51.6,  4.49 W   
229,247.30%,2236,51.1,  3.91 W   
230,242.40%,2281,51.6,  3.79 W   
231,284.40%,2627,51.1,  4.45 W   
232,306.00%,2681,50.6,  4.81 W   
233,351.40%,2967,49.6,  5.53 W   
234,223.90%,3009,51.1,  3.52 W   
235,216.40%,3338,50.1,  3.38 W   
236,245.80%,3373,49.6,  3.91 W   
237,134.20%,3696,49.6,  2.20 W   
238,325.70%,3730,49.6,  5.11 W   
239,291.70%,4045,50.1,  4.64 W   
240,263.40%,4082,50.6,  4.13 W   
241,251.00%,4404,49.1,  3.94 W   
242,229.40%,4444,49.6,  3.62 W   
243,262.90%,4752,49.6,  4.14 W   
244,267.30%,4802,48.7,  4.18 W   
245,207.20%,5093,49.1,  3.28 W   
246,245.20%,5135,47.7,  3.83 W   
247,285.80%,5455,48.7,  4.50 W   
248,242.70%,5510,49.1,  3.80 W   
249,393.20%,1539,47.7,  6.14 W   
250,386.60%,1539,48.2,  6.07 W   
251,298.00%,1542,48.2,  4.73 W   
252,199.40%,1543,48.7,  3.12 W   
253,285.30%,1541,47.2,  4.48 W   
254,296.60%,1540,48.2,  4.67 W   
255,296.80%,1541,48.7,  4.72 W   
256,250.80%,1541,48.2,  4.02 W   
257,205.50%,1541,49.1,  3.24 W   
258,232.20%,1542,49.1,  3.64 W   
259,232.40%,1666,49.6,  3.69 W   
260,220.50%,1729,49.6,  3.44 W   
261,201.00%,2020,49.1,  3.16 W   
262,292.60%,2061,48.7,  4.65 W   
263,176.20%,2366,48.7,  2.76 W   
264,298.20%,2404,50.1,  4.70 W   
265,246.70%,2705,50.1,  3.88 W   
266,186.10%,2750,49.6,  2.98 W   
267,226.00%,3119,48.7,  3.56 W   
268,312.70%,3165,50.6,  4.91 W   
269,269.40%,3487,50.6,  4.28 W   
270,300.50%,3530,50.1,  4.71 W   
271,270.40%,3853,50.1,  4.23 W   
272,291.60%,3893,50.1,  4.58 W   
273,332.60%,4200,49.6,  5.19 W   
274,292.60%,4249,50.6,  4.60 W   
275,233.10%,4581,49.6,  3.69 W   
276,186.80%,4634,50.1,  2.98 W   
277,248.30%,4943,50.1,  3.89 W   
278,221.30%,4983,50.1,  3.51 W   
279,230.30%,5280,50.1,  3.62 W   
280,277.80%,5325,50.1,  4.35 W   
281,370.80%,1542,50.1,  5.81 W   
282,316.50%,1546,50.1,  5.01 W   
283,349.60%,1544,51.1,  5.48 W   
284,261.00%,1545,51.6,  4.12 W   
285,238.10%,1544,51.6,  3.75 W   
286,250.00%,1543,50.6,  3.92 W   
287,342.50%,1540,52.1,  5.37 W   
288,252.90%,1542,50.6,  3.99 W   
289,290.10%,1560,51.6,  4.59 W   
290,266.90%,1606,51.6,  4.22 W   
291,326.30%,1945,51.6,  5.12 W   
292,211.20%,1998,51.6,  3.30 W   
293,289.60%,2304,50.6,  4.57 W   
294,300.70%,2357,51.1,  4.74 W   
295,204.60%,2641,49.6,  3.25 W   
296,290.90%,2693,50.6,  4.65 W   
297,302.50%,3009,49.1,  4.79 W   
298,246.50%,3069,49.6,  3.90 W   
299,311.80%,3388,49.6,  4.93 W   
300,236.70%,3448,49.6,  3.70 W   
301,303.50%,3759,49.6,  4.78 W   
302,240.70%,3802,49.6,  3.80 W   
303,222.50%,4103,49.6,  3.54 W   
304,240.90%,4155,49.6,  3.76 W   
305,217.60%,4451,49.6,  3.48 W   
306,315.40%,4497,49.1,  5.01 W   
307,224.30%,4819,48.7,  3.51 W   
308,293.90%,4862,49.1,  4.60 W   
309,232.10%,5167,49.6,  3.63 W   
310,302.40%,5224,48.7,  4.77 W   
311,284.60%,5509,47.7,  4.49 W   
312,274.70%,5554,48.2,  4.29 W   
313,385.10%,1539,47.7,  6.01 W   
314,377.20%,1537,47.7,  5.97 W   
315,262.20%,1538,48.2,  4.14 W   
316,289.10%,1541,48.7,  4.57 W   
317,304.80%,1541,47.7,  4.77 W   
318,255.60%,1541,47.2,  4.08 W   
319,272.70%,1542,48.2,  4.32 W   
320,275.60%,1541,48.2,  4.30 W   
321,283.70%,1542,47.2,  4.44 W   
322,229.40%,1540,49.1,  3.61 W   
323,210.80%,1542,46.7,  3.29 W   
324,282.60%,1540,47.7,  4.49 W   
325,324.30%,1842,47.2,  5.09 W   
326,200.30%,1900,47.2,  3.35 W   
327,225.50%,2205,48.7,  3.55 W   
328,257.60%,2258,48.7,  4.03 W   
329,229.20%,2541,49.1,  3.60 W   
330,297.80%,2600,48.2,  4.65 W   
331,183.40%,2890,49.1,  2.90 W   
332,219.80%,2953,48.2,  3.50 W   
333,239.80%,3282,49.6,  3.80 W   
334,229.40%,3352,49.1,  3.58 W   
335,225.60%,3693,49.6,  3.52 W   
336,253.50%,3756,49.6,  3.97 W   
337,197.90%,4038,49.1,  3.13 W   
338,269.50%,4094,48.7,  4.31 W   
339,195.00%,4415,49.6,  3.05 W   
340,288.40%,4482,48.7,  4.53 W   
341,227.00%,4792,50.1,  3.60 W   
342,268.60%,4856,50.1,  4.23 W   
343,273.80%,5154,50.1,  4.33 W   
344,263.50%,5217,50.1,  4.17 W   
345,293.30%,1540,49.6,  4.64 W   
346,340.60%,1540,48.7,  5.39 W   
347,285.70%,1541,49.6,  4.46 W   
348,256.20%,1540,48.7,  4.03 W   
349,245.60%,1541,51.1,  3.86 W   
350,269.10%,1541,50.1,  4.28 W   
351,287.90%,1542,50.6,  4.52 W   
352,225.50%,1543,49.6,  3.55 W   
353,274.80%,1539,51.1,  4.34 W   
354,213.40%,1569,50.1,  3.35 W   
355,325.10%,1863,50.6,  5.12 W   
356,321.70%,1903,49.6,  5.04 W   
357,269.00%,2243,50.1,  4.20 W   
358,268.60%,2284,51.1,  4.23 W   
359,242.20%,2625,50.6,  3.79 W   
360,225.90%,2676,50.1,  3.54 W   
361,314.40%,2994,50.6,  4.98 W   
362,204.00%,3051,51.1,  3.21 W   
363,256.20%,3374,50.1,  4.03 W   
364,334.20%,3425,51.1,  5.26 W   
365,263.40%,3719,50.6,  4.12 W   
366,354.30%,3762,50.1,  5.63 W   
367,295.60%,4071,51.6,  4.68 W   
368,311.00%,4113,50.6,  4.90 W   
369,327.30%,4390,51.1,  5.15 W   
370,284.80%,4437,50.1,  4.54 W   
371,278.90%,4750,50.1,  4.41 W   
372,328.70%,4800,50.1,  5.19 W   
373,243.90%,5101,51.1,  3.86 W   
374,212.30%,5151,50.6,  3.34 W   
375,202.00%,5454,51.6,  3.15 W   
376,283.40%,5505,51.6,  4.45 W   
377,330.80%,1541,50.6,  5.24 W   
378,382.80%,1541,50.1,  6.01 W   
379,4.90%,210,45.7,  269 mW   
380,4.90%,213,43.8,  352 mW   
381,6.50%,211,44.3,  357 mW   
