Time,CPU,Memory,Temperature,Power
1,3.70%,204,46.7,  823 mW   
2,128.60%,463,56.4,  2.28 W   
3,102.80%,464,64.2,  1.86 W   
4,62.50%,463,70.6,  1.07 W   
5,134.30%,464,71.1,  2.26 W   
6,148.10%,464,74.5,  2.45 W   
7,84.60%,466,75.4,  1.67 W   
8,143.70%,467,76.4,  2.41 W   
9,68.00%,466,76.9,  1.30 W   
10,131.90%,467,75.9,  2.25 W   
11,127.60%,466,76.9,  2.17 W   
12,115.00%,467,76.9,  2.02 W   
13,88.90%,467,77.9,  1.79 W   
14,100.90%,466,78.4,  1.79 W   
15,134.20%,467,78.8,  2.29 W   
16,47.90%,466,78.4,  947 mW   
17,75.80%,463,77.9,  1.60 W   
18,131.20%,465,78.4,  2.24 W   
19,46.30%,465,78.4,  1.07 W   
20,128.90%,463,77.9,  2.21 W   
21,132.80%,466,79.3,  2.30 W   
22,137.10%,464,78.8,  2.34 W   
23,80.10%,463,79.3,  1.63 W   
24,143.50%,464,78.8,  2.45 W   
25,78.00%,465,79.3,  1.51 W   
26,96.50%,463,79.8,  1.85 W   
27,142.80%,464,79.3,  2.37 W   
28,145.90%,465,79.8,  2.50 W   
29,126.90%,466,78.8,  2.17 W   
30,92.20%,464,79.3,  1.62 W   
31,123.70%,465,78.8,  2.32 W   
32,156.70%,464,79.8,  2.70 W   
33,118.20%,465,78.8,  1.99 W   
34,135.90%,464,78.8,  2.29 W   
35,119.20%,466,78.8,  2.20 W   
36,116.60%,468,78.4,  2.02 W   
37,141.00%,467,79.3,  2.37 W   
38,168.00%,469,78.4,  2.86 W   
39,134.80%,464,79.3,  2.25 W   
40,100.00%,466,78.8,  1.91 W   
41,66.30%,466,78.4,  1.33 W   
42,129.30%,465,78.8,  2.16 W   
43,61.30%,466,78.8,  1.15 W   
44,123.40%,467,78.8,  2.10 W   
45,134.00%,468,78.8,  2.27 W   
46,118.00%,465,78.8,  2.18 W   
47,107.10%,466,78.4,  1.86 W   
48,158.80%,467,79.3,  2.66 W   
49,139.10%,465,79.3,  2.37 W   
50,138.20%,465,78.4,  2.33 W   
51,135.30%,468,78.8,  2.27 W   
52,122.00%,467,79.8,  2.17 W   
53,129.80%,466,78.8,  2.24 W   
54,68.40%,466,79.3,  1.32 W   
55,121.60%,465,78.4,  2.09 W   
56,127.50%,467,79.8,  2.12 W   
57,119.50%,465,79.8,  2.03 W   
58,94.00%,468,78.8,  1.76 W   
59,127.30%,466,79.8,  2.17 W   
60,78.80%,466,79.8,  1.70 W   
61,112.50%,470,78.8,  2.03 W   
62,142.10%,470,77.9,  2.44 W   
63,91.30%,466,78.8,  1.60 W   
64,64.10%,468,78.4,  1.36 W   
65,128.60%,468,77.4,  2.21 W   
66,127.90%,468,78.8,  2.17 W   
67,82.10%,467,78.4,  1.56 W   
68,82.30%,469,78.4,  1.60 W   
69,149.60%,469,78.8,  2.57 W   
70,109.40%,468,79.3,  1.97 W   
71,132.10%,469,79.3,  2.23 W   
72,85.30%,470,79.3,  1.66 W   
73,83.10%,469,78.8,  1.56 W   
74,163.40%,465,79.3,  2.74 W   
75,118.20%,464,79.3,  2.29 W   
76,95.90%,466,79.3,  1.70 W   
77,83.60%,468,78.4,  1.48 W   
78,140.40%,467,79.3,  2.38 W   
79,145.70%,465,78.8,  2.48 W   
80,132.00%,468,77.9,  2.25 W   
81,62.30%,465,79.3,  1.30 W   
82,175.70%,467,78.8,  3.04 W   
83,127.50%,469,78.4,  2.20 W   
84,151.70%,466,79.8,  2.53 W   
